cv_score,best_num_boost_round
9.714592499999998,4028
14.1223578,3977
17.971416299999998,2852
5.696626,4329
26.5457219,2817
4.732400400000001,4634
13.2840274,2835
7.8052795,3777
5.982501600000001,4848
7.9113523,4355
4.5797727,4299
7.759062,4173
8.402241800000002,4106
17.1828602,3081
5.0450285,4218
6.2583139999999995,4469
7.6787368,3596
6.220957,4311
6.495376899999999,4503
6.8384929,3820
8.9668568,4099
4.847211100000001,4125
2.6773012,5080
4.1956799,4911
4.5454065,4510
4.2843175,4216
3.1503905999999997,5106
7.592933,3129
5.5956296000000005,3996
8.577899299999999,3799
5.8231293,3909
0.5195566,6696
0.678971,7960
0.9379531,6629
0.5437822999999999,6681
1.1102246999999998,5204
7.0252448,4140
8.518863499999998,4156
7.7208747,4135
14.191632199999997,3803
7.7029078,4278
7.7684843,4507
8.528789399999999,3793
5.9278866,4052
3.9987956,4564
6.438247299999999,4229
4.8602438,4394
3.7357772999999996,4617
3.6455341000000003,5405
4.0878207,5173
5.0440868000000005,4416
5.6581371,4835
17.6831703,3072
20.6927841,3744
1.6341253999999998,5448
1.3006053,5324
6.843888699999999,3978
0.7112978,6353
10.2389901,3572
5.9104485,4191
8.409195299999999,3885
8.9565242,4159
10.5849501,3397
8.267671699999998,3951
14.2991589,3192
7.0441951000000005,3881
8.4216415,4244
8.050179400000001,4153
3.4759911000000003,4525
10.087499699999999,6529
7.849153299999999,3975
5.0704574000000004,5033
4.3881731,4937
7.327239799999999,4089
10.205912600000001,4561
6.163880000000001,5191
3.7632221,4494
4.7058860000000005,4428
5.0921091,4329
7.614960299999998,4459
5.429332400000001,4191
8.1394381,4074
6.1914435999999995,3981
4.7178675,4313
3.4008092999999997,4881
7.761350800000001,4812
12.7631102,4106
8.352151399999999,4296
10.038189200000001,4183
9.896964100000002,4467
10.662435499999999,3327
7.4811438,3797
5.2974429999999995,4813
7.481273799999999,3938
14.925038999999998,3040
5.3028949,5081
6.4601813,4580
10.817689,4118
5.616083699999999,4141
7.2654643,3886
