cv_score,best_num_boost_round
9.5961678,4140
14.0768102,4067
18.041368799999997,2845
5.7027589999999995,4322
26.546301400000004,2846
4.723085200000001,4612
13.363401000000001,2829
7.7891908999999995,3844
6.1069550999999995,4677
7.6992953,4348
4.6518584,4344
7.797743800000001,4187
8.2565691,4009
17.1970821,3073
4.9654872,4208
6.3622815,4396
7.4356601000000015,3650
6.2308810999999995,4335
6.504682300000001,4519
6.634736200000001,3835
8.8832479,4167
4.8039305,4130
2.6697615999999997,5121
4.271741,4899
4.5090908,4518
4.2395469,4270
2.9288307,5180
7.541496099999999,3177
5.610117300000001,4007
8.4468025,3963
5.7779556,3876
0.5211322,6719
0.6730017,7980
0.9534936999999999,6523
0.5395565999999999,6773
1.1107121,5218
7.1023179999999995,4069
8.597574400000001,4111
7.8606940000000005,4077
14.1156841,3683
7.669405300000001,4286
7.7869051,4484
8.317897400000001,3830
5.548164099999999,4098
3.9787205000000005,4563
6.520519,4284
4.9016773,4384
3.7820639999999996,4752
3.6560493000000003,5417
3.9378377999999996,5255
5.0291073,4323
5.5538547000000005,4854
17.720264899999997,2970
21.039471900000002,3446
1.6216076999999998,5424
1.2715291,5337
6.829868100000001,4001
0.6828575,6469
9.928160499999999,3602
5.919602200000001,4232
8.3417546,3890
8.9821226,4108
10.4213334,3415
8.0907101,3952
14.1848572,3093
6.9444433000000005,3922
8.3935237,4077
7.873439499999999,4048
3.4127561999999996,4645
10.043511200000001,7064
7.817232300000001,3896
4.837981699999999,5129
4.377327,5021
7.1873476,4127
10.2501621,4678
6.1133668000000005,5171
3.7315461000000005,4533
4.688160099999999,4451
5.0686672,4375
7.370706000000001,4518
5.487975499999999,4204
8.1894444,4058
5.856757,4146
4.7015294999999995,4381
3.4502609,4775
7.940695699999999,4779
12.959620699999999,4094
8.4457364,4477
10.1412753,4174
9.9807896,4436
10.445208399999999,3216
7.6026024,3862
5.3585288,4719
7.5458137999999995,3921
14.9597331,2981
5.3881487,5030
6.500935700000001,4579
10.874309199999999,4091
5.6669897,4166
7.3606178,3853
