bd_no,max_depth,subsample,colsample_bytree,best_num_boost_round,test-SMAPE-mean
28,3,0.6,0.6,322,8.151250399999999
28,3,0.6,0.8,322,8.4064662
28,3,0.8,0.6,320,8.208933300000002
28,3,0.8,0.8,334,8.4511072
28,5,0.6,0.6,336,7.7338299999999975
28,5,0.6,0.8,344,8.056663400000001
28,5,0.8,0.6,327,7.7280404
28,5,0.8,0.8,357,8.0185119
28,7,0.6,0.6,344,7.7824653999999995
28,7,0.6,0.8,362,8.048741300000001
28,7,0.8,0.6,345,7.802621500000001
28,7,0.8,0.8,366,7.9996893
29,3,0.6,0.6,543,5.5057773999999995
29,3,0.6,0.8,543,5.5214278
29,3,0.8,0.6,563,5.555690999999999
29,3,0.8,0.8,531,5.5789381
29,5,0.6,0.6,670,5.425877099999999
29,5,0.6,0.8,673,5.4657978
29,5,0.8,0.6,666,5.4896276
29,5,0.8,0.8,669,5.5627674
29,7,0.6,0.6,670,5.4690952
29,7,0.6,0.8,672,5.4749464
29,7,0.8,0.6,673,5.5983049000000005
29,7,0.8,0.8,693,5.532347
30,3,0.6,0.6,532,8.3950965
30,3,0.6,0.8,509,8.304869700000001
30,3,0.8,0.6,636,8.377562800000002
30,3,0.8,0.8,655,8.2471123
30,5,0.6,0.6,556,8.3859179
30,5,0.6,0.8,571,8.286504500000001
30,5,0.8,0.6,543,8.5054536
30,5,0.8,0.8,577,8.4543908
30,7,0.6,0.6,679,8.5470124
30,7,0.6,0.8,666,8.3847958
30,7,0.8,0.6,658,8.6885866
30,7,0.8,0.8,709,8.621829899999998
31,3,0.6,0.6,1650,5.528384600000001
31,3,0.6,0.8,1129,5.618176
31,3,0.8,0.6,1701,5.5529541
31,3,0.8,0.8,1546,5.6221907
31,5,0.6,0.6,622,5.346646499999999
31,5,0.6,0.8,928,5.4103243999999995
31,5,0.8,0.6,554,5.400120599999999
31,5,0.8,0.8,735,5.423583599999999
31,7,0.6,0.6,972,5.3803941
31,7,0.6,0.8,679,5.4449365
31,7,0.8,0.6,611,5.4620426
31,7,0.8,0.8,691,5.4722339
32,3,0.6,0.6,3845,0.5436163
32,3,0.6,0.8,2823,0.5247583
32,3,0.8,0.6,3816,0.5494458000000001
32,3,0.8,0.8,2709,0.5244121999999999
32,5,0.6,0.6,2177,0.6009358
32,5,0.6,0.8,1917,0.5634764000000001
32,5,0.8,0.6,2290,0.6039055
32,5,0.8,0.8,2054,0.5675507999999999
32,7,0.6,0.6,1614,0.6255623
32,7,0.6,0.8,1366,0.5840626
32,7,0.8,0.6,1768,0.6321942
32,7,0.8,0.8,1745,0.586233
33,3,0.6,0.6,2089,0.7554846
33,3,0.6,0.8,2397,0.7538074
33,3,0.8,0.6,4500,0.7417529
33,3,0.8,0.8,3609,0.7372952
33,5,0.6,0.6,1857,0.7759318000000001
33,5,0.6,0.8,2090,0.7665693000000001
33,5,0.8,0.6,1970,0.7695374
33,5,0.8,0.8,2208,0.7679437
33,7,0.6,0.6,1667,0.7884133
33,7,0.6,0.8,1849,0.7830565
33,7,0.8,0.6,1679,0.7863811
33,7,0.8,0.8,1657,0.7818528
34,3,0.6,0.6,1634,1.1776431
34,3,0.6,0.8,1157,1.1598813
34,3,0.8,0.6,1620,1.1847503000000001
34,3,0.8,0.8,1152,1.1908177
34,5,0.6,0.6,1271,1.2248523
34,5,0.6,0.8,1101,1.1808181000000002
34,5,0.8,0.6,1174,1.2320759000000001
34,5,0.8,0.8,1107,1.2045843
34,7,0.6,0.6,1127,1.244499
34,7,0.6,0.8,1080,1.190487
34,7,0.8,0.6,1189,1.2518654999999999
34,7,0.8,0.8,1028,1.2152398
35,3,0.6,0.6,1552,0.5782651
35,3,0.6,0.8,1168,0.561204
35,3,0.8,0.6,1559,0.5763771000000001
35,3,0.8,0.8,1168,0.5607098999999999
35,5,0.6,0.6,1110,0.6052478000000001
35,5,0.6,0.8,1047,0.5792113999999999
35,5,0.8,0.6,1167,0.6074553
35,5,0.8,0.8,954,0.5797743000000001
35,7,0.6,0.6,1105,0.6134571
35,7,0.6,0.8,1058,0.5878599
35,7,0.8,0.6,1168,0.6204103
35,7,0.8,0.8,1004,0.5923019999999999
36,3,0.6,0.6,593,1.0219488
36,3,0.6,0.8,585,1.0278931999999998
36,3,0.8,0.6,596,1.0069953999999999
36,3,0.8,0.8,592,1.0285182
36,5,0.6,0.6,593,0.9917712999999999
36,5,0.6,0.8,575,0.9916086
36,5,0.8,0.6,575,0.9970022999999999
36,5,0.8,0.8,561,0.9913465
36,7,0.6,0.6,575,0.981291
36,7,0.6,0.8,566,0.97822
36,7,0.8,0.6,575,0.9855273000000002
36,7,0.8,0.8,583,0.9739739999999999
37,3,0.6,0.6,488,5.8976799
37,3,0.6,0.8,484,6.1092889
37,3,0.8,0.6,503,5.8305733
37,3,0.8,0.8,502,5.993360299999999
37,5,0.6,0.6,551,5.6782708
37,5,0.6,0.8,577,5.471426599999999
37,5,0.8,0.6,621,5.590930599999999
37,5,0.8,0.8,583,5.4491382999999995
37,7,0.6,0.6,744,5.828692
37,7,0.6,0.8,727,5.3726871
37,7,0.8,0.6,702,5.8207838
37,7,0.8,0.8,695,5.3118184
38,3,0.6,0.6,1333,5.5480478
38,3,0.6,0.8,1183,5.056377899999999
38,3,0.8,0.6,1477,5.575251
38,3,0.8,0.8,1051,5.0061721
38,5,0.6,0.6,1112,5.3496698
38,5,0.6,0.8,799,4.8179283
38,5,0.8,0.6,815,5.4037446000000005
38,5,0.8,0.8,804,4.741981099999999
38,7,0.6,0.6,1106,5.633222699999999
38,7,0.6,0.8,779,4.8725523
38,7,0.8,0.6,950,5.6079361
38,7,0.8,0.8,839,4.8237739
39,3,0.6,0.6,1109,4.549474600000001
39,3,0.6,0.8,1055,4.233625399999999
39,3,0.8,0.6,1252,4.5777818
39,3,0.8,0.8,906,4.2326646
39,5,0.6,0.6,661,4.8293435
39,5,0.6,0.8,661,4.3419483
39,5,0.8,0.6,741,4.8028527
39,5,0.8,0.8,668,4.3660691
39,7,0.6,0.6,793,5.0315433
39,7,0.6,0.8,726,4.3497614
39,7,0.8,0.6,811,5.0698798
39,7,0.8,0.8,709,4.423625899999999
40,3,0.6,0.6,528,11.4390456
40,3,0.6,0.8,486,11.4387297
40,3,0.8,0.6,533,11.320795
40,3,0.8,0.8,499,11.365708
40,5,0.6,0.6,679,10.8550979
40,5,0.6,0.8,740,10.734916
40,5,0.8,0.6,667,10.885584099999999
40,5,0.8,0.8,669,10.7734467
40,7,0.6,0.6,851,10.963287300000001
40,7,0.6,0.8,857,10.9610083
40,7,0.8,0.6,900,10.9655886
40,7,0.8,0.8,785,11.0084761
41,3,0.6,0.6,985,5.809933200000001
41,3,0.6,0.8,796,5.7075876
41,3,0.8,0.6,915,5.9044663
41,3,0.8,0.8,723,5.7444105
41,5,0.6,0.6,714,5.846567899999999
41,5,0.6,0.8,691,5.6368952
41,5,0.8,0.6,743,5.9164827
41,5,0.8,0.8,591,5.636710000000001
41,7,0.6,0.6,787,6.0430273
41,7,0.6,0.8,796,5.593533900000001
41,7,0.8,0.6,972,6.0497914
41,7,0.8,0.8,765,5.6425307
42,3,0.6,0.6,1839,5.1036914
42,3,0.6,0.8,1072,4.7710268
42,3,0.8,0.6,2175,5.0582914
42,3,0.8,0.8,1569,4.6794809
42,5,0.6,0.6,1759,5.118885799999999
42,5,0.6,0.8,920,4.4379018
42,5,0.8,0.6,1873,5.165742
42,5,0.8,0.8,919,4.4332844
42,7,0.6,0.6,1465,5.5586827
42,7,0.6,0.8,890,4.531456399999999
42,7,0.8,0.6,1531,5.6546797
42,7,0.8,0.8,943,4.537348099999999
43,3,0.6,0.6,881,8.175384999999999
43,3,0.6,0.8,803,7.632809399999999
43,3,0.8,0.6,848,8.2326205
43,3,0.8,0.8,878,7.732099099999999
43,5,0.6,0.6,712,8.1526838
43,5,0.6,0.8,773,7.7855676
43,5,0.8,0.6,736,8.353929
43,5,0.8,0.8,711,7.844686999999999
43,7,0.6,0.6,772,8.424691900000003
43,7,0.6,0.8,773,7.8522571999999995
43,7,0.8,0.6,746,8.5662841
43,7,0.8,0.8,820,7.9215193
44,3,0.6,0.6,1515,5.8273013
44,3,0.6,0.8,1036,5.1511254
44,3,0.8,0.6,1607,5.8236927
44,3,0.8,0.8,935,5.202327500000001
44,5,0.6,0.6,714,5.8364925
44,5,0.6,0.8,768,4.9193584
44,5,0.8,0.6,770,5.8159122
44,5,0.8,0.8,703,4.9857472000000005
44,7,0.6,0.6,818,5.9600740000000005
44,7,0.6,0.8,924,4.8743327999999995
44,7,0.8,0.6,739,6.1278323
44,7,0.8,0.8,914,4.970260099999999
45,3,0.6,0.6,926,3.9922585999999995
45,3,0.6,0.8,908,4.0823914
45,3,0.8,0.6,862,4.0039404
45,3,0.8,0.8,796,4.1156022
45,5,0.6,0.6,767,4.033240999999999
45,5,0.6,0.8,758,4.161790099999999
45,5,0.8,0.6,722,4.067785499999999
45,5,0.8,0.8,770,4.1771541
45,7,0.6,0.6,973,4.0613118
45,7,0.6,0.8,814,4.1785107
45,7,0.8,0.6,939,4.1079092
45,7,0.8,0.8,1038,4.2506334
46,3,0.6,0.6,1157,6.4093344000000005
46,3,0.6,0.8,1152,6.452803
46,3,0.8,0.6,1175,6.4672624
46,3,0.8,0.8,1155,6.535659900000001
46,5,0.6,0.6,886,6.3577691
46,5,0.6,0.8,829,6.6192048
46,5,0.8,0.6,846,6.4960021
46,5,0.8,0.8,798,6.812354600000001
46,7,0.6,0.6,844,6.5430935
46,7,0.6,0.8,929,6.835141
46,7,0.8,0.6,845,6.657391799999999
46,7,0.8,0.8,829,7.056002099999999
47,3,0.6,0.6,1124,4.8043422
47,3,0.6,0.8,906,4.843484699999999
47,3,0.8,0.6,962,4.8685257
47,3,0.8,0.8,974,4.9053723
47,5,0.6,0.6,1179,4.8265803
47,5,0.6,0.8,942,4.874742599999999
47,5,0.8,0.6,1004,4.8335781
47,5,0.8,0.8,839,4.9847248
47,7,0.6,0.6,993,4.846661
47,7,0.6,0.8,1047,4.874549499999999
47,7,0.8,0.6,1001,4.8970514
47,7,0.8,0.8,1165,5.007911399999999
48,3,0.6,0.6,1464,3.3424274000000005
48,3,0.6,0.8,1366,3.3949597
48,3,0.8,0.6,1580,3.3900647
48,3,0.8,0.8,1452,3.421517599999999
48,5,0.6,0.6,1379,3.4281312
48,5,0.6,0.8,1217,3.5127182999999995
48,5,0.8,0.6,1100,3.509481100000001
48,5,0.8,0.8,1228,3.5953079000000003
48,7,0.6,0.6,1216,3.5153536
48,7,0.6,0.8,1083,3.5723600000000006
48,7,0.8,0.6,1299,3.5852644999999996
48,7,0.8,0.8,1126,3.6890906
49,3,0.6,0.6,1151,3.6243612999999995
49,3,0.6,0.8,1064,3.6132549000000003
49,3,0.8,0.6,1040,3.6559216
49,3,0.8,0.8,965,3.6241798000000003
49,5,0.6,0.6,1144,3.6823109
49,5,0.6,0.8,1011,3.6955964000000003
49,5,0.8,0.6,1070,3.7374373
49,5,0.8,0.8,1222,3.745876
49,7,0.6,0.6,1151,3.7272152
49,7,0.6,0.8,1064,3.7286158
49,7,0.8,0.6,1242,3.790323
49,7,0.8,0.8,1096,3.8066733
50,3,0.6,0.6,1769,3.7560224
50,3,0.6,0.8,1551,3.7806635999999996
50,3,0.8,0.6,1683,3.8217391999999997
50,3,0.8,0.8,1254,3.8448186
50,5,0.6,0.6,1171,3.9067641
50,5,0.6,0.8,1192,3.9858025999999995
50,5,0.8,0.6,1157,3.9664406
50,5,0.8,0.8,1036,4.006275199999999
50,7,0.6,0.6,1136,4.0062163
50,7,0.6,0.8,1092,4.0652625
50,7,0.8,0.6,1160,4.051800500000001
50,7,0.8,0.8,1099,4.130831000000001
51,3,0.6,0.6,882,5.011112799999999
51,3,0.6,0.8,882,4.9615613000000005
51,3,0.8,0.6,877,5.007656899999999
51,3,0.8,0.8,904,5.0289653
51,5,0.6,0.6,836,5.0159327000000005
51,5,0.6,0.8,812,5.034857199999999
51,5,0.8,0.6,836,5.061941
51,5,0.8,0.8,747,5.1336597
51,7,0.6,0.6,791,5.0662122
51,7,0.6,0.8,909,5.0885704
51,7,0.8,0.6,884,5.1023570000000005
51,7,0.8,0.8,1005,5.2156262
52,3,0.6,0.6,868,5.0288873
52,3,0.6,0.8,775,5.0951946
52,3,0.8,0.6,790,5.0279939
52,3,0.8,0.8,797,5.1184836
52,5,0.6,0.6,785,5.337044199999999
52,5,0.6,0.8,852,5.407502
52,5,0.8,0.6,780,5.293445
52,5,0.8,0.8,787,5.439151399999999
52,7,0.6,0.6,980,5.460564
52,7,0.6,0.8,882,5.4974938
52,7,0.8,0.6,930,5.402789399999999
52,7,0.8,0.8,931,5.5897798
53,3,0.6,0.6,526,15.180732
53,3,0.6,0.8,533,15.312253000000002
53,3,0.8,0.6,498,15.299501900000001
53,3,0.8,0.8,676,15.4635455
53,5,0.6,0.6,523,14.971214699999999
53,5,0.6,0.8,441,14.815593400000001
53,5,0.8,0.6,526,15.163593799999997
53,5,0.8,0.8,477,14.8446698
53,7,0.6,0.6,543,15.3891485
53,7,0.6,0.8,487,14.852668
53,7,0.8,0.6,632,15.569137700000002
53,7,0.8,0.8,486,15.003285600000002
54,3,0.6,0.6,729,15.938196399999999
54,3,0.6,0.8,552,15.987565600000002
54,3,0.8,0.6,662,16.1155332
54,3,0.8,0.8,578,16.0091901
54,5,0.6,0.6,620,15.894967900000001
54,5,0.6,0.8,548,15.7688874
54,5,0.8,0.6,536,16.052702099999998
54,5,0.8,0.8,554,16.0210645
54,7,0.6,0.6,665,16.2429651
54,7,0.6,0.8,657,16.1000835
54,7,0.8,0.6,705,16.2310854
54,7,0.8,0.8,709,16.2676871
55,3,0.6,0.6,1107,1.5380655
55,3,0.6,0.8,987,1.5478882999999999
55,3,0.8,0.6,1012,1.550551
55,3,0.8,0.8,939,1.5616838
55,5,0.6,0.6,916,1.5403585
55,5,0.6,0.8,869,1.5417733000000002
55,5,0.8,0.6,1040,1.5325209
